2019-Rank,City,Link,State,2010-Census,2019-estimate,2016-land-area,2016-population-density
1,New York City,https://en.wikipedia.org/wiki/New_York_City,New York,"8,175,133","8,336,817",301.5 sq mi,"28,317/sq mi"
2,Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles,California,"3,792,621","3,979,576",468.7 sq mi,"8,484/sq mi"
3,Chicago,https://en.wikipedia.org/wiki/Chicago,Illinois,"2,695,598","2,693,976",227.3 sq mi,"11,900/sq mi"
4,Houston,https://en.wikipedia.org/wiki/Houston,Texas,"2,100,263","2,320,268",637.5 sq mi,"3,613/sq mi"
5,Phoenix,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",Arizona,"1,445,632","1,680,992",517.6 sq mi,"3,120/sq mi"
6,Philadelphia,https://en.wikipedia.org/wiki/Philadelphia,Pennsylvania,"1,526,006","1,584,064",134.2 sq mi,"11,683/sq mi"
7,San Antonio,https://en.wikipedia.org/wiki/San_Antonio,Texas,"1,327,407","1,547,253",461.0 sq mi,"3,238/sq mi"
8,San Diego,https://en.wikipedia.org/wiki/San_Diego,California,"1,307,402","1,423,851",325.2 sq mi,"4,325/sq mi"
9,Dallas,https://en.wikipedia.org/wiki/Dallas,Texas,"1,197,816","1,343,573",340.9 sq mi,"3,866/sq mi"
10,San Jose,"https://en.wikipedia.org/wiki/San_Jose,_California",California,"945,942","1,021,795",177.5 sq mi,"5,777/sq mi"
11,Austin,"https://en.wikipedia.org/wiki/Austin,_Texas",Texas,"790,390","978,908",312.7 sq mi,"3,031/sq mi"
12,Jacksonville,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",Florida,"821,784","911,507",747.4 sq mi,"1,178/sq mi"
13,Fort Worth,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",Texas,"741,206","909,585",342.9 sq mi,"2,491/sq mi"
14,Columbus,"https://en.wikipedia.org/wiki/Columbus,_Ohio",Ohio,"787,033","898,553",218.5 sq mi,"3,936/sq mi"
15,Charlotte,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",North Carolina,"731,424","885,708",305.4 sq mi,"2,757/sq mi"
16,San Francisco,https://en.wikipedia.org/wiki/San_Francisco,California,"805,235","881,549",46.9 sq mi,"18,569/sq mi"
17,Indianapolis,https://en.wikipedia.org/wiki/Indianapolis,Indiana,"820,445","876,384",361.5 sq mi,"2,366/sq mi"
18,Seattle,https://en.wikipedia.org/wiki/Seattle,Washington,"608,660","753,675",83.8 sq mi,"8,405/sq mi"
19,Denver,https://en.wikipedia.org/wiki/Denver,Colorado,"600,158","727,211",153.3 sq mi,"4,521/sq mi"
20,Washington,"https://en.wikipedia.org/wiki/Washington,_D.C.",District of Columbia,"601,723","705,749",61.1 sq mi,"11,148/sq mi"
21,Boston,https://en.wikipedia.org/wiki/Boston,Massachusetts,"617,594","692,600",48.3 sq mi,"13,938/sq mi"